year,species,lc.doy,lf.doy,sd.lc.doy,sd.lf.doy
2008,BEPA,277,284,9.40690462874974,3.69513525402486
2009,BEPA,272,278,4.50076328341871,11.7192014135474
2010,BEPA,274,283,NA,NA
2011,BEPA,270,273,6.11999754811882,9.19366331425951
2012,BEPA,275,280,2.24625991980413,1.06482297429416
2013,BEPA,264,270,10.5340825731554,4.81221831142843
2014,BEPA,277,283,5.16178854905069,4.64246703812352
2015,BEPA,282,290,6.10290458331377,2.59163128111217
2016,BEPA,285,294,4.47337168755019,4.19111093230293
2017,BEPA,281,291,1.16862517145024,1.52353876687765
2018,BEPA,277,285,5.02821903570584,4.92450009444668
2019,BEPA,273,289,2.02097766072222,4.28124846567286
2020,BEPA,279,291,4.97609551829346,3.87143508180811
2021,BEPA,279,289,10.0530967001569,7.95224330364843
2022,BEPA,277,290,4.33549646582636,8.23288644467202
2023,BEPA,278,290,1.91933781713501,0.468347447188361
1991,BEPO,275,280,0.201795142190719,3.53531116618296
1992,BEPO,283,287,10.5879095100595,12.0176562103736
1993,BEPO,275,282,11.6598811043985,19.4291130293749
1994,BEPO,275,284,9.13183160415075,10.4828623649612
1995,BEPO,272,281,2.67276762417209,1.77067806386792
1996,BEPO,277,285,6.69322880018042,4.5452097141016
1997,BEPO,277,287,8.14524658402026,18.9845061157737
1998,BEPO,274,283,2.6671711116411,3.27868075624018
1999,BEPO,278,285,7.06969685982509,6.05583737771085
2000,BEPO,275,282,4.91813703462137,10.5571888244791
2001,BEPO,276,282,0.951646029788578,3.22333619326867
1991,CADE,281,291,3.23493203864078,1.7398033317248
1992,CADE,NA,302,5.30336980215497,7.49544006845584
1993,CADE,284,298,2.886569479704,6.36701460823439
1994,CADE,287,300,13.1758550071312,8.66234769025882
1995,CADE,286,299,1.40994460096419,2.44021303167318
1996,CADE,288,294,4.10866262628895,4.03699397883662
1997,CADE,286,298,1.77860403829636,5.02243846851153
1998,CADE,280,291,6.44916127203411,11.5023393111715
1999,CADE,283,293,0.611738502491528,6.88559206929435
2000,CADE,285,295,NA,NA
2001,CADE,285,294,6.24937812840288,10.9036643190008
1991,COAL,274,288,3.2279075093911,1.49428073975468
1992,COAL,275,285,3.07445408034922,3.994931238702
1993,COAL,276,286,4.22841287101476,4.29588690428199
1994,COAL,279,286,3.59514078574394,3.0265121846886
1995,COAL,269,278,2.25779436602439,3.90616953479339
1996,COAL,280,288,2.91217016103343,0.889065361448416
1997,COAL,304,300,2.82820792054799,1.45577750679096
1998,COAL,272,282,3.89144279464143,3.39724491695354
1999,COAL,281,291,1.30396161734787,1.6795867262872
2000,COAL,283,289,1.20910730153205,2.17737238191879
2001,COAL,287,295,9.09061797295625,9.06263212512035
1991,CRSP,262,264,1.49276705048175,2.08208922957739
1992,CRSP,272,285,4.61588791554829,4.41628114630161
1993,CRSP,274,285,3.72246892338639,1.23621866595382
1994,CRSP,280,288,15.2251252890594,15.7895126172742
1995,CRSP,275,282,11.7690179721219,8.98822183944763
1996,CRSP,282,290,3.92181381493007,1.91911654353405
1997,CRSP,278,286,4.78258738951584,3.04833078709149
1998,CRSP,276,280,8.23179647861501,4.89139057515288
1999,CRSP,281,289,2.26848200964382,0.365971043826839
2000,CRSP,261,275,18.9502576643367,29.8823703433827
2001,CRSP,281,276,4.91405976103818,5.29613331594663
1991,FAGR,288,299,6.19543485228403,7.56856081493015
1992,FAGR,NA,301,1.8375313182325,1.95438941921532
1993,FAGR,289,303,12.9455069769213,19.6811570100421
1994,FAGR,284,297,1.5818629939466,1.86250774937032
1995,FAGR,287,298,9.86653179335261,8.75337940534796
